,date,issueType,fundsLost
652,2022-07-13,Rugpull,806087
653,2022-07-15,Phishing,150000
654,2022-07-15,Rugpull,326259
655,2022-07-16,Other,7200
656,2022-07-16,Rugpull,17304
657,2022-07-17,Access Control,375000
658,2022-07-19,Rugpull,20833902
659,2022-07-20,Rugpull,130943
660,2022-07-21,Phishing,45819
661,2022-07-21,Rugpull,6000000
662,2022-07-23,Other,1086000
663,2022-07-25,Rugpull,4755682
664,2022-07-27,Rugpull,21091023
665,2022-07-28,Flash Loan Attack,3574635
666,2022-08-01,Other,194767945
667,2022-08-02,Other,1700000
668,2022-08-03,Other,5200000
669,2022-08-06,Other,43269
670,2022-08-07,Rugpull,3525500
671,2022-08-08,Rugpull,88736
672,2022-08-09,Phishing,612000
673,2022-08-09,Rugpull,366975
674,2022-08-13,Rugpull,475122
675,2022-08-14,Other,1600000
676,2022-08-14,Rugpull,287266
677,2022-08-16,Other,165000
678,2022-08-16,Rugpull,410000
679,2022-08-18,Other,236334
680,2022-08-20,Rugpull,509000
681,2022-08-21,Rugpull,25278
682,2022-08-22,Rugpull,65000
683,2022-08-23,Rugpull,1015093
684,2022-08-25,Rugpull,58152
685,2022-08-26,Rugpull,27193
686,2022-08-28,Other,110105
687,2022-08-28,Rugpull,93746
688,2022-08-29,Rugpull,111535
689,2022-08-30,Rugpull,1177347
690,2022-08-31,Access Control,177873
691,2022-08-31,Flash Loan Attack,78623
692,2022-09-01,Other,265050
693,2022-09-01,Rugpull,59172
694,2022-09-02,Other,302817
695,2022-09-02,Rugpull,62224
696,2022-09-04,Flash Loan Attack,581250
697,2022-09-06,Flash Loan Attack,370000
698,2022-09-06,Rugpull,51411
699,2022-09-07,Other,0
700,2022-09-08,Access Control,45262
701,2022-09-08,Flash Loan Attack,1250372
702,2022-09-08,Other,100472459
703,2022-09-10,Other,103859
704,2022-09-15,Phishing,255780
705,2022-09-15,Rugpull,322007
706,2022-09-16,Other,271800
707,2022-09-17,Rugpull,45978
708,2022-09-18,Access Control,977550
709,2022-09-19,Rugpull,398625
710,2022-09-20,Access Control,160000000
711,2022-09-20,Other,2584890
712,2022-09-21,Rugpull,262175
713,2022-09-22,Other,21672
714,2022-09-22,Rugpull,44963
715,2022-09-23,Rugpull,784106
716,2022-09-24,Rugpull,58448
717,2022-09-26,Rugpull,382660
718,2022-09-27,Rugpull,159000
719,2022-10-01,Other,28900000
720,2022-10-03,Rugpull,41112
721,2022-10-04,Other,1329635
722,2022-10-05,Rugpull,115549
723,2022-10-06,Other,89530887
724,2022-10-07,Other,766000000
725,2022-10-08,Other,0
726,2022-10-09,Rugpull,1143446
727,2022-10-10,Rugpull,189876
728,2022-10-11,Access Control,1165500
729,2022-10-11,Other,118571372
730,2022-10-11,Rugpull,684385
731,2022-10-12,Other,127000
732,2022-10-12,Rugpull,448344
733,2022-10-13,Other,187156
734,2022-10-15,Rugpull,103540
735,2022-10-16,Flash Loan Attack,487042
736,2022-10-16,Rugpull,71488
737,2022-10-17,Access Control,36743
738,2022-10-17,Flash Loan Attack,24483
739,2022-10-17,Other,1192464
740,2022-10-18,Other,9100000
741,2022-10-18,Rugpull,148019
742,2022-10-19,Other,0
743,2022-10-20,Other,8800
744,2022-10-20,Rugpull,40384
745,2022-10-22,Rugpull,348312
746,2022-10-23,Access Control,190370
747,2022-10-23,Flash Loan Attack,190000
748,2022-10-23,Rugpull,60060852
749,2022-10-24,Access Control,644404
750,2022-10-24,Rugpull,210893
751,2022-10-25,Flash Loan Attack,50646
752,2022-10-25,Reentrancy,31096
753,2022-10-27,Access Control,1447175
754,2022-10-27,Other,13132150
755,2022-10-28,Rugpull,151087
756,2022-10-29,Access Control,158343
757,2022-10-29,Rugpull,275117
758,2022-11-01,Access Control,28317206
759,2022-11-01,Other,3000000
760,2022-11-02,Access Control,79670
761,2022-11-02,Oracle Issue,1260000
762,2022-11-03,Other,0
763,2022-11-05,Access Control,18577305
764,2022-11-06,Flash Loan Attack,122960
765,2022-11-06,Rugpull,997086
766,2022-11-07,Rugpull,375046
767,2022-11-08,Oracle Issue,110911
768,2022-11-09,Other,89522
769,2022-11-10,Access Control,41053572
770,2022-11-10,Other,7645284
771,2022-11-10,Rugpull,454953
772,2022-11-11,Other,1000000000
773,2022-11-13,Rugpull,21184149
774,2022-11-15,Other,91320
775,2022-11-18,Other,7000
776,2022-11-20,Rugpull,120083
777,2022-11-21,Other,2800000000
778,2022-11-21,Rugpull,6073083
779,2022-11-28,Other,1000000000
780,2022-12-01,Rugpull,426892
781,2022-12-02,Access Control,5000000
782,2022-12-03,Other,3000000
783,2022-12-04,Rugpull,301754
784,2022-12-10,Flash Loan Attack,5800000
785,2022-12-12,Other,18476
786,2022-12-13,Other,850000
787,2022-12-14,Flash Loan Attack,76000
788,2022-12-14,Phishing,0
789,2022-12-16,Access Control,4400000
790,2022-12-20,Other,20000000
791,2022-12-23,Rugpull,12000000
792,2022-12-25,Other,1420000
